iter	RMSE
0	2.811100818
1	2.748914423
2	2.695563327
3	2.644923084
4	2.600645804
5	2.541050947
6	2.498032634
7	2.457067307
8	2.399677407
9	2.352463806
10	2.309962575
11	2.269588732
12	2.233467764
13	2.193232656
14	2.150653127
15	2.117441919
16	2.081745854
17	2.042640136
18	2.005861697
19	1.972563504
20	1.931244088
21	1.894871357
22	1.86081996
23	1.830531874
24	1.803970546
25	1.763257165
26	1.727784281
27	1.688931546
28	1.652198802
29	1.614432883
30	1.581287594
31	1.548966642
32	1.522753773
33	1.494742739
34	1.467497481
35	1.434115269
36	1.40707883
37	1.377078872
38	1.352955837
39	1.326866666
40	1.303763319
41	1.282924813
42	1.262170353
43	1.242069816
44	1.220040936
45	1.194659996
46	1.173885945
47	1.150924045
48	1.12653955
49	1.111540249
50	1.092152335
51	1.074180879
52	1.0570001
53	1.039863664
54	1.019053526
55	1.000272182
56	0.9804511692
57	0.9624344146
58	0.9440488602
59	0.9265961979
60	0.9139079886
61	0.8967662428
62	0.8849085344
63	0.8710632087
64	0.8580343899
65	0.8424235055
66	0.8312853015
67	0.8163759782
68	0.8061086552
69	0.7929188582
70	0.7811928568
71	0.767378794
72	0.7535222803
73	0.7435005587
74	0.7339717803
75	0.7223350959
76	0.7125238608
77	0.7002486689
78	0.6909582536
79	0.6820064431
80	0.6731522999
81	0.6625355542
82	0.6541438259
83	0.6440753408
84	0.6356797965
85	0.6252136029
86	0.6160043305
87	0.6065013566
88	0.5961915905
89	0.5884358596
90	0.5808540207
91	0.5718109279
92	0.564368884
93	0.5549063258
94	0.5477824277
95	0.5397022084
96	0.5327820138
97	0.5260524529
98	0.5191859784
99	0.5126354947
100	0.5059161629
101	0.4994399874
102	0.4930501828
103	0.4867166109
104	0.4805472158
105	0.4743331368
106	0.4682735878
107	0.4624201767
108	0.456516341
109	0.4506920814
110	0.4449755315
111	0.4394062002
112	0.4340249563
113	0.4284924898
114	0.4230805655
115	0.4177168904
116	0.4124226557
117	0.4072000074
118	0.402061025
119	0.3969629188
120	0.3919348771
121	0.3869404854
122	0.3821615741
123	0.3772986086
124	0.3724937535
125	0.3678121529
126	0.3632702255
127	0.3587822212
128	0.3544130681
129	0.3499242958
130	0.3454917589
131	0.3411174847
132	0.3368493931
133	0.3326066964
134	0.3285539192
135	0.324495855
136	0.3203876556
137	0.3163299461
138	0.3123306531
139	0.3083878866
140	0.3044861273
141	0.3006306605
142	0.2968730561
143	0.2931634073
144	0.2895010992
145	0.2858855251
146	0.2823160866
147	0.2788278985
148	0.2753138662
149	0.2718450969
150	0.2684209894
151	0.2650409512
152	0.2616688868
153	0.2583614524
154	0.2551182515
155	0.2519647929
156	0.2487808137
157	0.2456742744
158	0.2425831989
159	0.2395545216
160	0.2365409259
161	0.2335539203
162	0.2306171178
163	0.2277666904
164	0.2248913818
165	0.2220646173
166	0.2192624492
167	0.2165255904
168	0.2137941492
169	0.2110978037
170	0.2084291455
171	0.2058524007
172	0.2033082377
173	0.2007720022
174	0.1982680922
175	0.1957960953
176	0.1933358005
177	0.1909477644
178	0.188589949
179	0.1862122573
180	0.1838918012
181	0.1815740984
182	0.1793122783
183	0.1770530376
184	0.1748483617
185	0.1726526451
186	0.1704784945
187	0.1683322718
188	0.1662025339
189	0.1641337514
190	0.1620680878
191	0.1600289392
192	0.1580159592
193	0.1560288062
194	0.1540879234
195	0.1521717576
196	0.1502799959
197	0.1483789515
198	0.1465348491
199	0.1446817022
