iter	Passed	Remaining
0	45	9152
1	46	4558
2	46	3026
3	46	2261
4	46	1801
5	46	1495
6	46	1277
7	46	1113
8	46	985
9	46	883
10	46	799
11	46	730
12	46	670
13	46	620
14	46	576
15	46	538
16	46	504
17	46	473
18	46	447
19	46	422
20	47	400
21	47	380
22	47	362
23	47	345
24	47	330
25	47	316
26	47	303
27	47	290
28	47	279
29	47	268
30	47	258
31	47	249
32	47	240
33	47	232
34	47	224
35	47	217
36	47	210
37	47	203
38	47	197
39	47	191
40	47	185
41	47	180
42	48	175
43	48	170
44	48	165
45	48	161
46	48	156
47	48	152
48	48	148
49	48	145
50	48	141
51	48	137
52	48	134
53	48	131
54	48	128
55	48	125
56	48	122
57	48	119
58	48	116
59	48	113
60	48	111
61	48	108
62	48	106
63	49	104
64	49	101
65	49	99
66	49	97
67	49	95
68	49	93
69	49	91
70	49	89
71	49	87
72	49	86
73	49	84
74	49	82
75	49	80
76	49	79
77	49	77
78	49	76
79	49	74
80	49	73
81	49	71
82	49	70
83	50	69
84	50	67
85	50	66
86	50	65
87	50	63
88	50	62
89	50	61
90	50	60
91	50	59
92	50	58
93	50	56
94	50	55
95	50	54
96	50	53
97	50	52
98	50	51
99	50	50
100	50	49
101	50	48
102	51	48
103	51	47
104	51	46
105	51	45
106	51	44
107	51	43
108	51	42
109	51	42
110	51	41
111	51	40
112	51	39
113	51	38
114	51	38
115	51	37
116	51	36
117	51	36
118	51	35
119	52	34
120	52	34
121	52	33
122	52	32
123	52	32
124	52	31
125	52	30
126	52	30
127	52	29
128	52	28
129	52	28
130	52	27
131	52	27
132	52	26
133	52	26
134	52	25
135	52	24
136	53	24
137	53	23
138	53	23
139	53	22
140	53	22
141	53	21
142	53	21
143	53	20
144	53	20
145	53	19
146	53	19
147	53	18
148	53	18
149	53	17
150	53	17
151	53	17
152	53	16
153	54	16
154	54	15
155	54	15
156	54	14
157	54	14
158	54	14
159	54	13
160	54	13
161	54	12
162	54	12
163	54	11
164	54	11
165	54	11
166	54	10
167	54	10
168	54	10
169	55	9
170	55	9
171	55	8
172	55	8
173	55	8
174	55	7
175	55	7
176	55	7
177	55	6
178	55	6
179	55	6
180	55	5
181	55	5
182	55	5
183	55	4
184	55	4
185	55	4
186	56	3
187	56	3
188	56	3
189	56	2
190	56	2
191	56	2
192	56	2
193	56	1
194	56	1
195	56	1
196	56	0
197	56	0
198	56	0
199	56	0
