player_name,team,stat_type,line,platform,game_date
LeBron James,LAL,points,24.5,PrizePicks,2026-03-05
LeBron James,LAL,assists,7.5,PrizePicks,2026-03-05
LeBron James,LAL,points_rebounds,33.5,PrizePicks,2026-03-05
Anthony Davis,LAL,points,25.5,PrizePicks,2026-03-05
Anthony Davis,LAL,rebounds,11.5,Underdog,2026-03-05
Anthony Davis,LAL,points_rebounds_assists,38.5,DraftKings,2026-03-05
Stephen Curry,GSW,points,26.5,PrizePicks,2026-03-05
Stephen Curry,GSW,threes,3.5,DraftKings,2026-03-05
Stephen Curry,GSW,points_assists,32.5,Underdog,2026-03-05
Nikola Jokic,DEN,points,28.5,PrizePicks,2026-03-05
Nikola Jokic,DEN,rebounds,12.5,Underdog,2026-03-05
Nikola Jokic,DEN,assists,9.5,PrizePicks,2026-03-05
Nikola Jokic,DEN,points_rebounds_assists,52.5,PrizePicks,2026-03-05
Nikola Jokic,DEN,fantasy_score_pp,65.5,PrizePicks,2026-03-05
Joel Embiid,PHI,points,30.5,PrizePicks,2026-03-05
Joel Embiid,PHI,rebounds,10.5,Underdog,2026-03-05
Joel Embiid,PHI,points_rebounds,42.5,DraftKings,2026-03-05
Giannis Antetokounmpo,MIL,points,29.5,PrizePicks,2026-03-05
Giannis Antetokounmpo,MIL,rebounds,11.5,DraftKings,2026-03-05
Giannis Antetokounmpo,MIL,rebounds_assists,17.5,Underdog,2026-03-05
Jayson Tatum,BOS,points,26.5,PrizePicks,2026-03-05
Jayson Tatum,BOS,rebounds,8.5,Underdog,2026-03-05
Jayson Tatum,BOS,points_assists,33.5,PrizePicks,2026-03-05
Luka Doncic,DAL,points,31.5,PrizePicks,2026-03-05
Luka Doncic,DAL,assists,8.5,DraftKings,2026-03-05
Luka Doncic,DAL,points_rebounds_assists,52.5,PrizePicks,2026-03-05
Kevin Durant,PHX,points,27.5,PrizePicks,2026-03-05
Devin Booker,PHX,points,24.5,Underdog,2026-03-05
Devin Booker,PHX,points_assists,30.5,DraftKings,2026-03-05
Shai Gilgeous-Alexander,OKC,points,29.5,PrizePicks,2026-03-05
Shai Gilgeous-Alexander,OKC,assists,5.5,DraftKings,2026-03-05
Shai Gilgeous-Alexander,OKC,points_rebounds,36.5,Underdog,2026-03-05
Donovan Mitchell,CLE,points,25.5,PrizePicks,2026-03-05
Donovan Mitchell,CLE,threes,2.5,DraftKings,2026-03-05
Trae Young,ATL,assists,9.5,Underdog,2026-03-05
Trae Young,ATL,points,24.5,PrizePicks,2026-03-05
Trae Young,ATL,points_assists,34.5,PrizePicks,2026-03-05
Karl-Anthony Towns,NYK,rebounds,10.5,PrizePicks,2026-03-05
Karl-Anthony Towns,NYK,points_rebounds,33.5,DraftKings,2026-03-05
Jalen Brunson,NYK,points,26.5,Underdog,2026-03-05
Victor Wembanyama,SAS,blocks,2.5,PrizePicks,2026-03-05
Victor Wembanyama,SAS,points,21.5,DraftKings,2026-03-05
Victor Wembanyama,SAS,blocks_steals,3.5,PrizePicks,2026-03-05
Tyrese Haliburton,IND,assists,10.5,PrizePicks,2026-03-05
Tyrese Haliburton,IND,points,19.5,Underdog,2026-03-05
Tyrese Haliburton,IND,points_assists,30.5,Underdog,2026-03-05
Chet Holmgren,OKC,blocks,1.5,PrizePicks,2026-03-05
Jaylen Brown,BOS,points,22.5,DraftKings,2026-03-05
Damian Lillard,MIL,threes,3.5,PrizePicks,2026-03-05
Damian Lillard,MIL,points_assists,31.5,DraftKings,2026-03-05
Bam Adebayo,MIA,rebounds,9.5,Underdog,2026-03-05
Jimmy Butler,MIA,points,19.5,PrizePicks,2026-03-05
Paolo Banchero,ORL,points,23.5,DraftKings,2026-03-05
Jamal Murray,DEN,points,20.5,PrizePicks,2026-03-05
Tyrese Maxey,PHI,points,24.5,Underdog,2026-03-05
Kyrie Irving,DAL,points,22.5,PrizePicks,2026-03-05
